,Year,Month,Jurisdiction,Area (hectares),Time
0,1990,January,Alberta,0.1,1990-01-01
3200,1990,January,Canada,0.1,1990-01-01
74,1990,January,Prince Edward Island,0.0,1990-01-01
73,1990,February,Prince Edward Island,0.0,1990-02-01
4,1990,February,Alberta,3.3,1990-02-01
14,1990,February,British Columbia,0.7,1990-02-01
3199,1990,February,Canada,4.0,1990-02-01
40,1990,March,Newfoundland and Labrador,1.6,1990-03-01
49,1990,March,Nova Scotia,103.73,1990-03-01
63,1990,March,Ontario,187.800000543,1990-03-01
15,1990,March,British Columbia,123.0,1990-03-01
3203,1990,March,Canada,422.750000543,1990-03-01
84,1990,March,Quebec,0.0,1990-03-01
92,1990,March,Saskatchewan,0.02,1990-03-01
5,1990,March,Alberta,6.6,1990-03-01
77,1990,March,Prince Edward Island,0.0,1990-03-01
32,1990,March,New Brunswick,0.0,1990-03-01
33,1990,April,New Brunswick,53.3,1990-04-01
85,1990,April,Quebec,56.6,1990-04-01
70,1990,April,Prince Edward Island,36.0,1990-04-01
64,1990,April,Ontario,683.500001691001,1990-04-01
93,1990,April,Saskatchewan,124.92,1990-04-01
50,1990,April,Nova Scotia,65.35,1990-04-01
100,1990,April,Yukon,0.38,1990-04-01
41,1990,April,Newfoundland and Labrador,17.1,1990-04-01
3196,1990,April,Canada,4271.850001691002,1990-04-01
6,1990,April,Alberta,25.1,1990-04-01
25,1990,April,Manitoba,2774.5,1990-04-01
16,1990,April,British Columbia,435.100000000001,1990-04-01
26,1990,May,Manitoba,337.9,1990-05-01
56,1990,May,Northwest Territories,54.64,1990-05-01
94,1990,May,Saskatchewan,689.1663161,1990-05-01
17,1990,May,British Columbia,3443.89999999999,1990-05-01
51,1990,May,Nova Scotia,262.61,1990-05-01
65,1990,May,Ontario,5914.700000223,1990-05-01
101,1990,May,Yukon,4105.99,1990-05-01
7,1990,May,Alberta,635.800000000001,1990-05-01
42,1990,May,Newfoundland and Labrador,2860.7,1990-05-01
86,1990,May,Quebec,5704.5,1990-05-01
78,1990,May,Prince Edward Island,50.0,1990-05-01
3204,1990,May,Canada,24148.00631632299,1990-05-01
34,1990,May,New Brunswick,88.1,1990-05-01
8,1990,June,Alberta,1779.09999999999,1990-06-01
52,1990,June,Nova Scotia,574.01,1990-06-01
66,1990,June,Ontario,2118.899999875,1990-06-01
27,1990,June,Manitoba,400.6,1990-06-01
3202,1990,June,Canada,35661.909339685,1990-06-01
35,1990,June,New Brunswick,6011.80000000001,1990-06-01
43,1990,June,Newfoundland and Labrador,355.7,1990-06-01
95,1990,June,Saskatchewan,17430.36933981,1990-06-01
102,1990,June,Yukon,145.12,1990-06-01
57,1990,June,Northwest Territories,3838.41,1990-06-01
76,1990,June,Prince Edward Island,11.0,1990-06-01
87,1990,June,Quebec,2917.0,1990-06-01
18,1990,June,British Columbia,79.8999999999998,1990-06-01
67,1990,July,Ontario,131454.300000477,1990-07-01
75,1990,July,Prince Edward Island,5.0,1990-07-01
3201,1990,July,Canada,587761.4954497766,1990-07-01
88,1990,July,Quebec,51866.4999999999,1990-07-01
96,1990,July,Saskatchewan,36262.8354493,1990-07-01
9,1990,July,Alberta,39003.2,1990-07-01
58,1990,July,Northwest Territories,100678.28,1990-07-01
28,1990,July,Manitoba,5377.4,1990-07-01
36,1990,July,New Brunswick,25.7,1990-07-01
44,1990,July,Newfoundland and Labrador,20395.9,1990-07-01
103,1990,July,Yukon,177619.77,1990-07-01
53,1990,July,Nova Scotia,26.91,1990-07-01
19,1990,July,British Columbia,25045.6999999998,1990-07-01
20,1990,August,British Columbia,11674.3000000002,1990-08-01
10,1990,August,Alberta,14890.9,1990-08-01
29,1990,August,Manitoba,4754.3,1990-08-01
3197,1990,August,Canada,258950.7371449452,1990-08-01
89,1990,August,Quebec,22719.0,1990-08-01
54,1990,August,Nova Scotia,29.01,1990-08-01
37,1990,August,New Brunswick,10.7,1990-08-01
