,Year,Month,Jurisdiction,Number,Time
0,1990,January,Alberta,1.0,1990-01-01
3200,1990,January,Canada,1.0,1990-01-01
74,1990,January,Prince Edward Island,0.0,1990-01-01
73,1990,February,Prince Edward Island,0.0,1990-02-01
4,1990,February,Alberta,5.0,1990-02-01
14,1990,February,British Columbia,3.0,1990-02-01
3199,1990,February,Canada,8.0,1990-02-01
40,1990,March,Newfoundland and Labrador,2.0,1990-03-01
49,1990,March,Nova Scotia,34.0,1990-03-01
63,1990,March,Ontario,62.0,1990-03-01
15,1990,March,British Columbia,35.0,1990-03-01
3203,1990,March,Canada,145.0,1990-03-01
84,1990,March,Quebec,1.0,1990-03-01
92,1990,March,Saskatchewan,2.0,1990-03-01
5,1990,March,Alberta,8.0,1990-03-01
77,1990,March,Prince Edward Island,0.0,1990-03-01
32,1990,March,New Brunswick,1.0,1990-03-01
33,1990,April,New Brunswick,42.0,1990-04-01
85,1990,April,Quebec,59.0,1990-04-01
70,1990,April,Prince Edward Island,7.0,1990-04-01
64,1990,April,Ontario,185.0,1990-04-01
93,1990,April,Saskatchewan,18.0,1990-04-01
50,1990,April,Nova Scotia,89.0,1990-04-01
100,1990,April,Yukon,3.0,1990-04-01
41,1990,April,Newfoundland and Labrador,5.0,1990-04-01
3196,1990,April,Canada,620.0,1990-04-01
6,1990,April,Alberta,26.0,1990-04-01
25,1990,April,Manitoba,39.0,1990-04-01
16,1990,April,British Columbia,147.0,1990-04-01
26,1990,May,Manitoba,71.0,1990-05-01
56,1990,May,Northwest Territories,10.0,1990-05-01
94,1990,May,Saskatchewan,103.0,1990-05-01
17,1990,May,British Columbia,235.0,1990-05-01
51,1990,May,Nova Scotia,134.0,1990-05-01
65,1990,May,Ontario,242.0,1990-05-01
101,1990,May,Yukon,15.0,1990-05-01
7,1990,May,Alberta,114.0,1990-05-01
42,1990,May,Newfoundland and Labrador,19.0,1990-05-01
86,1990,May,Quebec,214.0,1990-05-01
78,1990,May,Prince Edward Island,13.0,1990-05-01
3204,1990,May,Canada,1241.0,1990-05-01
34,1990,May,New Brunswick,71.0,1990-05-01
8,1990,June,Alberta,214.0,1990-06-01
52,1990,June,Nova Scotia,58.0,1990-06-01
66,1990,June,Ontario,111.0,1990-06-01
27,1990,June,Manitoba,85.0,1990-06-01
3202,1990,June,Canada,1238.0,1990-06-01
35,1990,June,New Brunswick,100.0,1990-06-01
43,1990,June,Newfoundland and Labrador,36.0,1990-06-01
95,1990,June,Saskatchewan,275.0,1990-06-01
102,1990,June,Yukon,19.0,1990-06-01
57,1990,June,Northwest Territories,98.0,1990-06-01
76,1990,June,Prince Edward Island,8.0,1990-06-01
87,1990,June,Quebec,139.0,1990-06-01
18,1990,June,British Columbia,95.0,1990-06-01
67,1990,July,Ontario,237.0,1990-07-01
75,1990,July,Prince Edward Island,6.0,1990-07-01
3201,1990,July,Canada,2261.0,1990-07-01
88,1990,July,Quebec,178.0,1990-07-01
96,1990,July,Saskatchewan,130.0,1990-07-01
9,1990,July,Alberta,446.0,1990-07-01
58,1990,July,Northwest Territories,113.0,1990-07-01
28,1990,July,Manitoba,90.0,1990-07-01
36,1990,July,New Brunswick,114.0,1990-07-01
44,1990,July,Newfoundland and Labrador,29.0,1990-07-01
103,1990,July,Yukon,69.0,1990-07-01
53,1990,July,Nova Scotia,74.0,1990-07-01
19,1990,July,British Columbia,775.0,1990-07-01
20,1990,August,British Columbia,1563.0,1990-08-01
10,1990,August,Alberta,381.0,1990-08-01
29,1990,August,Manitoba,176.0,1990-08-01
3197,1990,August,Canada,3285.0,1990-08-01
